"SeqNum","MOSTYP","MOSHOO","MOPLHO","MSKB1","MHHUUR","MSKB2","MAUT2","MGEMOM","MINKGE","MAANTH","MSKC","MGODPR","MFWEKI","MGODRK","MSKA","MAUT1","MFALLE","MRELGE","MGEMLE","MAUT0","PPERSA","PWAPAR","PAANHA","AMOTSC","APERSA","AWAPAR","Resp"
1,3,9,1,0,2,6,1,2,0,1,6,8,0,1,8,1,0,4,0,3,6,0,0,0,0,0,0
2,7,9,1,2,4,5,0,5,0,0,5,7,1,2,6,3,2,0,0,4,0,0,0,0,0,0,0
3,7,9,2,2,4,2,0,5,0,0,4,2,0,2,9,0,4,5,0,4,6,0,0,0,0,0,0
5,10,1,1,1,4,4,5,4,5,4,0,5,2,1,5,4,0,0,0,3,0,0,0,0,0,0,0
6,34,6,0,6,5,2,0,5,0,0,4,0,3,3,9,0,5,2,0,3,6,0,0,0,0,0,0
7,9,10,0,2,3,6,0,4,0,0,5,3,0,1,9,0,4,3,0,5,6,0,0,0,0,0,0
8,3,9,0,2,5,4,0,3,0,0,5,9,4,2,6,3,2,5,0,3,0,3,0,0,1,0,0
9,3,9,3,0,3,3,0,1,1,0,8,0,2,3,7,2,7,2,0,3,5,0,0,0,0,0,0
10,22,4,0,0,2,6,0,4,0,0,4,9,1,2,6,3,2,3,0,7,0,0,0,0,0,0,0
11,21,4,1,1,3,6,4,3,0,0,0,9,2,1,5,4,0,3,2,7,6,0,0,0,0,0,0
12,20,4,2,1,3,5,1,7,0,0,1,3,1,2,4,5,3,4,0,4,5,0,0,0,0,0,0
13,3,9,1,2,4,3,1,4,1,0,5,4,1,3,7,2,3,4,0,3,6,0,0,0,0,0,0
14,11,1,0,1,4,5,2,4,0,1,4,4,2,0,8,1,3,2,0,4,0,0,0,0,0,0,0
15,34,6,1,2,3,1,2,6,0,0,4,0,1,3,5,4,4,3,0,3,5,0,0,0,0,0,0
16,3,9,0,2,5,4,0,3,0,0,5,9,4,2,6,3,2,5,0,3,0,0,0,0,0,0,0
17,8,10,0,0,6,3,2,6,0,0,2,3,2,0,4,5,0,1,0,4,0,0,0,0,0,0,0
18,33,6,0,0,2,7,2,1,2,0,7,5,1,2,7,2,0,6,0,2,6,0,0,0,0,0,0
19,24,4,0,0,3,6,5,4,0,0,2,5,1,2,5,4,2,2,0,6,5,0,0,0,0,0,0
20,1,8,0,0,6,3,0,0,0,0,7,0,2,0,9,0,5,4,0,1,0,3,0,0,1,0,0
21,3,9,0,0,3,6,0,0,0,3,6,0,2,0,9,0,3,5,0,3,6,0,0,0,0,0,0
22,3,9,2,0,2,7,0,2,0,2,4,9,0,2,9,0,3,6,0,3,6,0,0,0,0,0,0
23,24,4,0,0,3,6,3,5,0,0,1,5,2,1,5,4,1,1,0,6,6,0,0,0,0,0,0
24,4,9,0,2,4,5,0,2,2,0,5,7,4,0,9,0,0,5,0,6,0,0,0,0,0,0,0
26,3,9,1,0,3,5,1,2,0,1,5,7,0,2,7,2,0,4,0,3,0,0,0,0,0,0,0
27,7,9,0,2,3,6,3,5,0,0,2,1,0,0,5,4,2,3,0,4,6,0,0,0,0,0,0
28,10,1,0,0,4,5,2,0,0,5,3,7,2,0,7,2,4,2,0,3,0,0,0,0,0,0,0
29,1,8,0,0,0,9,0,0,0,2,5,0,2,4,7,2,9,0,0,1,0,3,0,0,1,0,0
30,3,9,1,1,1,5,0,2,0,1,7,1,1,4,8,1,5,3,0,3,0,0,0,0,0,0,0
31,35,6,2,4,3,3,2,5,0,0,4,4,0,2,9,0,5,3,0,2,6,0,0,0,0,0,0
32,34,6,2,1,0,3,1,8,0,0,1,3,1,2,6,3,4,4,0,3,0,0,0,0,0,0,0
33,3,9,1,1,2,7,2,2,1,1,5,5,4,1,7,2,4,2,1,3,6,0,0,0,0,0,0
34,8,10,2,2,4,3,1,3,1,0,3,3,1,3,8,1,4,3,0,4,0,0,0,0,0,0,0
35,24,4,2,1,3,6,1,7,0,0,3,8,0,1,4,5,0,5,0,6,0,0,0,0,0,0,0
36,19,3,1,1,4,5,2,5,2,0,3,3,1,2,6,3,3,4,0,7,6,0,0,0,0,0,0
38,11,1,1,1,5,3,0,3,0,2,4,6,2,2,6,3,2,7,0,4,0,0,0,0,0,0,0
39,9,10,0,0,0,9,0,3,0,0,4,2,6,0,6,3,7,0,0,5,0,0,0,0,0,0,0
40,3,9,3,3,3,6,0,1,0,0,8,6,3,0,9,0,3,5,0,3,5,0,2,0,0,0,0
41,35,6,1,1,0,9,0,0,1,1,4,0,1,3,7,2,4,5,0,2,0,0,0,0,0,0,0
42,22,4,0,0,3,4,0,5,0,0,2,8,2,0,7,2,2,4,1,6,6,0,0,0,0,0,1
43,19,3,1,1,3,5,2,4,1,1,3,5,2,1,4,5,2,2,1,7,0,0,0,0,0,0,0
44,3,9,0,0,7,2,2,2,0,3,4,3,0,3,7,2,4,2,0,3,6,0,0,0,0,0,0
45,14,2,0,1,3,5,0,4,1,0,4,9,2,2,5,4,0,5,0,6,0,0,0,0,0,0,0
46,8,10,1,1,2,5,1,3,1,1,5,4,2,2,7,2,4,4,1,4,6,0,0,0,0,0,1
47,6,9,1,0,3,3,1,3,1,0,5,4,0,3,6,3,3,3,0,3,0,0,0,0,0,0,0
48,8,10,0,0,1,8,1,4,0,0,5,1,4,1,8,1,5,4,0,4,5,0,0,0,0,0,0
49,9,10,1,0,5,4,1,4,0,0,4,4,2,3,6,3,2,4,0,5,5,0,0,0,0,0,0
51,3,9,2,0,6,3,0,2,0,0,7,0,2,0,9,0,6,3,0,3,6,0,0,0,0,0,0
52,36,7,1,2,3,3,2,3,1,0,3,2,1,3,8,1,5,3,0,1,0,0,0,0,0,0,0
53,31,6,2,2,4,3,1,2,0,0,6,0,2,2,8,1,3,3,0,2,0,0,0,0,0,0,0
54,22,4,0,0,2,4,3,3,0,2,5,8,0,6,7,2,4,3,0,6,0,0,0,0,0,0,0
55,3,9,1,0,3,6,1,2,0,1,6,8,0,1,8,1,0,2,0,3,6,0,0,0,0,0,0
56,9,10,0,1,0,9,0,4,0,0,5,7,2,2,6,3,0,4,0,5,6,0,0,0,0,0,0
57,22,4,1,3,3,1,4,5,0,0,7,1,0,1,9,0,3,5,0,6,5,0,0,0,0,0,0
59,5,9,4,2,7,2,0,3,0,2,4,2,1,1,7,2,5,3,0,5,0,0,0,0,0,0,0
60,41,8,1,1,4,5,1,3,0,1,3,7,0,5,7,2,2,2,1,2,0,0,0,0,0,0,0
61,41,8,3,1,4,1,2,4,1,0,4,0,0,4,5,4,5,3,0,2,6,0,0,0,0,0,0
62,6,9,1,1,4,4,1,3,1,1,4,5,2,3,7,2,3,4,1,3,6,0,0,0,0,0,0
63,4,9,0,0,5,4,3,4,0,0,4,7,4,0,5,4,0,2,3,6,0,0,0,0,0,0,0
64,34,6,4,2,4,0,0,7,0,0,4,0,0,2,9,0,4,4,0,3,0,0,0,0,0,0,0
65,22,4,0,2,2,1,0,7,0,0,0,1,0,7,7,2,6,3,0,6,6,0,0,0,0,0,0
66,3,9,1,0,2,7,2,3,1,0,4,9,2,0,6,3,0,6,0,3,6,0,0,0,0,0,0
67,6,9,1,1,4,4,1,2,0,1,6,4,2,3,6,3,2,5,0,3,0,0,0,0,0,0,0
68,24,4,0,0,4,4,4,3,0,0,2,9,0,0,4,5,0,5,0,6,6,0,0,0,0,0,0
69,6,9,0,0,4,3,0,7,0,2,2,7,3,0,3,6,0,7,0,3,0,0,0,0,0,0,0
70,40,8,2,0,4,2,0,1,0,0,4,0,3,3,9,0,1,8,0,3,0,0,0,0,0,0,0
71,20,4,0,0,4,5,2,5,2,0,2,2,2,0,6,3,4,5,0,4,0,0,0,0,0,0,0
72,36,7,2,1,5,1,1,5,1,0,2,3,1,1,5,4,4,4,0,1,0,0,0,0,0,0,0
73,2,8,1,1,5,3,2,3,1,1,5,5,0,2,5,4,2,3,0,1,0,0,0,0,0,0,0
74,19,3,2,1,3,5,3,4,0,0,2,8,0,1,6,3,0,5,0,7,6,0,0,0,0,0,0
75,22,4,0,2,3,5,3,6,0,0,1,7,2,0,5,4,1,0,0,6,6,0,0,0,0,0,0
76,14,2,2,0,4,4,0,4,0,0,3,7,0,3,8,1,2,4,0,6,6,0,0,0,0,0,0
77,8,10,2,1,4,3,0,3,0,1,5,1,1,3,6,3,4,4,0,4,0,3,0,0,1,0,0
78,22,4,1,1,8,1,5,4,0,0,0,0,1,1,4,5,0,5,0,6,0,0,0,0,0,0,0
79,14,2,1,1,7,2,4,3,0,0,1,9,0,0,4,5,3,3,0,6,0,0,0,0,0,0,0
80,24,4,1,2,4,5,2,5,0,0,3,8,2,0,8,1,1,3,0,6,6,0,0,0,0,0,0
81,14,2,1,0,3,4,1,3,0,1,3,7,0,2,7,2,0,5,0,6,0,0,0,0,0,0,0
82,14,2,1,1,9,0,0,0,0,0,4,5,2,1,5,4,5,5,0,6,6,0,0,0,0,0,0
84,11,1,1,0,3,5,1,2,0,1,5,7,0,2,7,2,0,4,0,4,0,0,0,0,0,0,0
85,34,6,2,2,5,3,1,4,0,0,6,0,0,5,8,1,4,2,0,3,6,0,0,0,0,0,0
86,8,10,1,1,2,4,2,3,1,0,3,4,2,4,7,2,3,5,0,4,6,0,0,0,0,0,0
87,12,2,0,1,5,4,4,1,0,2,3,9,3,0,3,6,3,3,0,8,0,0,0,0,0,0,0
88,9,10,2,0,3,6,2,4,0,0,5,9,0,0,7,2,0,5,0,5,6,0,0,0,0,0,0
89,6,9,1,2,3,2,2,5,0,0,3,0,1,3,5,4,4,3,0,3,0,0,0,0,0,0,0
90,8,10,2,1,4,3,1,1,0,0,8,6,1,1,8,1,0,7,0,4,0,0,0,0,0,0,0
